tag,sinonimos,areas,disciplinas,descricao
cidadania,"direitos civis;direitos sociais;participacao social;participacao politica","Humanas;Linguagens","historia;sociologia;filosofia;lingua portuguesa;redacao","Cidadania e participacao na vida social e politica."
direitos_humanos,"dignidade humana;violacao de direitos;garantia de direitos","Humanas;Linguagens","historia;sociologia;filosofia;redacao;lingua portuguesa","Temas de garantia de direitos e dignidade."
democracia,"estado democratico;representacao politica;instituicoes democraticas","Humanas","historia;sociologia;filosofia","Debates sobre democracia e instituicoes."
trabalho,"mercado de trabalho;emprego;desemprego;precarizacao","Humanas","historia;sociologia;geografia","Relacoes de trabalho e mundo produtivo."
industrializacao,"revolucao industrial;fordismo;toyotismo;producao industrial","Humanas","geografia;historia","Transformacoes produtivas e espaciais da industria."
urbanizacao,"espaco urbano;metropolizacao;segregacao socioespacial","Humanas","geografia","Dinamica das cidades e problemas urbanos."
migracoes,"imigracao;emigracao;fluxos migratorios;mobilidade populacional","Humanas","geografia;historia","Fluxos de populacao e suas causas."
cartografia,"mapa;escala cartografica;projecao cartografica;coordenadas","Humanas","geografia","Leitura e uso de linguagem cartografica."
meio_ambiente,"sustentabilidade;impacto ambiental;degradacao ambiental;preservacao","Humanas;Natureza","geografia;biologia;quimica","Relacao sociedade-natureza e sustentabilidade."
energia,"matriz energetica;fontes energeticas;energia renovavel;combustivel","Humanas;Natureza","geografia;fisica;quimica","Producao e uso de energia."
agua,"recursos hidricos;ciclo da agua;escassez hidrica","Humanas;Natureza","geografia;biologia;quimica","Uso social e natural da agua."
saude_publica,"vacinacao;epidemiologia;prevencao de doencas;saneamento","Natureza;Humanas","biologia;quimica;sociologia","Temas de saude coletiva e prevencao."
genetica,"dna;hereditariedade;mutacao;biotecnologia","Natureza","biologia","Conceitos de genetica e heranca."
ecologia,"cadeia alimentar;teia alimentar;bioma;ecossistema","Natureza","biologia","Interacoes ecologicas e equilibrio ambiental."
fisiologia_humana,"sistema nervoso;sistema circulatorio;sistema respiratorio;homeostase","Natureza","biologia","Funcionamento dos sistemas do corpo humano."
eletroquimica,"pilha;eletrise;oxidacao;reducao","Natureza","quimica","Processos de transferencia de eletrons."
estequiometria,"mol;massa molar;reacao quimica;proporcao quimica","Natureza","quimica","Quantificacao em reacoes quimicas."
quimica_organica,"hidrocarbonetos;funcoes organicas;cadeia carbonica","Natureza","quimica","Estruturas e funcoes da quimica organica."
termodinamica,"calor;temperatura;troca termica;dilatacao","Natureza","fisica","Fenomenos termicos e leis associadas."
mecanica,"cinematica;dinamica;forca;movimento","Natureza","fisica","Descricao e causas do movimento."
eletricidade,"corrente eletrica;circuito eletrico;potencial eletrico","Natureza","fisica","Fenomenos eletricos e aplicacoes."
ondas_e_optica,"frequencia;comprimento de onda;luz;som","Natureza","fisica","Propagacao de ondas e fenomenos opticos."
estatistica_probabilidade,"probabilidade;amostragem;media;desvio","Matematica","matematica","Leitura de dados e incerteza."
funcoes_algebra,"funcao afim;funcao quadratica;equacao;inequacao","Matematica","matematica","Modelagem algebrica por funcoes."
geometria,"area;volume;perimetro;triangulo","Matematica","matematica","Relacoes metricas e espaciais."
razao_proporcao,"porcentagem;regra de tres;escala","Matematica","matematica","Relacoes proporcionais em problemas."
educacao_financeira,"juros simples;juros compostos;desconto;inflacao","Matematica","matematica","Tomada de decisao financeira."
interpretacao_textual,"compreensao leitora;inferencias;argumentacao","Linguagens","lingua portuguesa;literatura;redacao","Leitura e interpretacao de textos."
coesao_coerencia,"coesao textual;coerencia textual;progressao textual","Linguagens","lingua portuguesa;redacao","Organizacao textual e encadeamento de ideias."
generos_textuais,"artigo de opiniao;cronica;reportagem;tirinha","Linguagens","lingua portuguesa;literatura","Reconhecimento de generos e finalidades."
variacao_linguistica,"norma padrao;registro linguistico;preconceito linguistico","Linguagens","lingua portuguesa","Usos sociais da lingua."
leitura_literaria,"escolas literarias;figuras de linguagem;eu lirico","Linguagens","literatura","Analise de textos literarios."
arte_midia,"linguagem visual;publicidade;campanha;multimodalidade","Linguagens","artes e comunicacao;lingua portuguesa","Leitura de produtos culturais e midiaticos."
ingles_leitura,"reading comprehension;vocabulary;textual clues","Linguagens","ingles;lingua estrangeira","Leitura e compreensao em ingles."
espanhol_leitura,"comprension lectora;vocabulario;pistas textuales","Linguagens","espanhol;lingua estrangeira","Leitura e compreensao em espanhol."
redacao_enem,"proposta de intervencao;tese;repertorio sociocultural;competencias c1 c2 c3 c4 c5","Linguagens","redacao","Elementos centrais da redacao modelo ENEM."
etica_e_filosofia,"moral;etica;justica;contrato social","Humanas","filosofia","Discussao de fundamentos eticos e politicos."
movimentos_sociais,"luta social;mobilizacao social;acoes coletivas","Humanas","sociologia;historia","Atuacao coletiva e transformacao social."
