id_questao,ano,dia,numero,variacao,area,disciplina,competencia,habilidade,dificuldade,tem_imagem,texto_vazio,confianca_mapeamento,tema_estimado,motivo_mapeamento,fallback_image_paths,gabarito,preview,source_csv
enem_2015_d1_q001_v1,2015,1,1,1,Ciências Humanas,Ciências Humanas (geral),C5,H23,nao_classificada,false,false,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C5-H23(média); score_matriz=3.74,,A,"paralisado, para as catástrofes que se avizinham. Por isso, desde já, saliente-se a necessidade de uma permanente ati...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q002_v1,2015,1,2,1,Ciências Humanas,Sociologia,C4,H20,nao_classificada,true,false,alta,Cidadania e Trabalho,Keywords de Ciências Humanas; score_disciplina=4; score_tema=4; matriz=C4-H20(alta); score_matriz=22.72,,E,Dominar a luz implica tanto um avanço tecnológico AMARILDO. Disponível em: www.amarildo.com.br. Acesso em: 3 mar. 201...,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q003_v1,2015,1,3,1,Ciências Humanas,Ciências Humanas (geral),C3,H15,nao_classificada,false,false,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C3-H15(média); score_matriz=1.00,,A,"Apesar de seu disfarce de iniciativa e otimismo, o homem Questões de 1 a 45 moderno está esmagado por um profundo sen...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q004_v1,2015,1,4,1,Ciências Humanas,Geografia,C6,H27,nao_classificada,true,false,média,Geografia Física,Keywords de Ciências Humanas; score_disciplina=3; score_tema=2; matriz=C6-H27(média); score_matriz=6.24,,E,BRASIL. Ministério do Meio Ambiente/IBGE. Biomas. 2004 (adaptado). No mapa estão representados os biomas brasileiros...,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q005_v1,2015,1,5,1,Ciências Humanas,Ciências Humanas (geral),C3,H15,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C3-H15(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q005_v01_p03_part01.png,A,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q006_v1,2015,1,6,1,Ciências Humanas,Ciências Humanas (geral),C3,H15,nao_classificada,false,false,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C3-H15(média); score_matriz=1.00,,D,"D formação de sindicatos trabalhistas. A língua de que usam, por toda a costa, carece E extinção gradual das classes...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q007_v1,2015,1,7,1,Ciências Humanas,Sociologia,C2,H8,nao_classificada,false,false,média,Tema geral,Keywords de Ciências Humanas; score_disciplina=3; score_tema=0; matriz=C2-H8(alta); score_matriz=17.20,,E,"A casa de Deus, que acreditam una, está, portanto, O principal articulador do atual modelo econômico dividida em três...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q008_v1,2015,1,8,1,Ciências Humanas,Sociologia,C5,H23,nao_classificada,false,false,alta,Cultura e Identidade,Keywords de Ciências Humanas; score_disciplina=4; score_tema=1; matriz=C5-H23(alta); score_matriz=11.22,,C,"não têm Fé, nem Lei, nem Rei, e dessa maneira vivem Até o fim de 2007, quase 2 milhões de pessoas desordenadamente, s...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q009_v1,2015,1,9,1,Ciências Humanas,Ciências Humanas (geral),C3,H15,nao_classificada,true,true,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C3-H15(média); score_matriz=1.00,questoes/banco_reais/enem_2015/dia1_questoes_vazias_imagens/images/q009_v01_p04_part01.png,E,Texto OCR indisponível (usar imagem fallback).,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q010_v1,2015,1,10,1,Ciências Humanas,História,C3,H15,nao_classificada,false,false,alta,História do Brasil,Keywords de Ciências Humanas; score_disciplina=3; score_tema=3; matriz=C3-H15(alta); score_matriz=19.48,,A,Voz do sangue Iniciou-se em 1903 a introdução de obras de arte com representações de bandeirantes no acervo do Palpit...,questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q011_v1,2015,1,11,1,Ciências Humanas,Sociologia,C4,H20,nao_classificada,false,false,média,Cidadania e Trabalho,Keywords de Ciências Humanas; score_disciplina=4; score_tema=2; matriz=C4-H20(média); score_matriz=8.57,,D,"Calendário medieval, século XV. Disponível em: www.ac-grenoble.fr. Acesso em: 10 maio 2012. Os calendários são fontes...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
enem_2015_d1_q012_v1,2015,1,12,1,Ciências Humanas,Ciências Humanas (geral),C6,H30,nao_classificada,false,false,média,Tema geral,Fallback por área; score_disciplina=1; score_tema=0; matriz=C6-H30(média); score_matriz=3.74,,E,"O processo de concentração urbana no Brasil em determinados locais teve momentos de maior intensidade e, ao que tudo...",questoes/mapeamento_habilidades/questoes_mapeadas.csv
